email,breach_source,year,risk_level
user0@company.com,LinkedIn,2016,HIGH
user1@outlook.com,Dropbox,2012,HIGH
user2@company.com,MyFitnessPal,2020,HIGH
user3@icloud.com,LinkedIn,2023,MEDIUM
user4@company.com,Twitter,2013,CRITICAL
user5@gmail.com,LinkedIn,2016,MEDIUM
user6@protonmail.com,Yahoo,2020,LOW
user7@icloud.com,Twitter,2020,CRITICAL
user8@icloud.com,Twitter,2022,CRITICAL
user9@outlook.com,Dropbox,2024,LOW
user10@company.com,MyFitnessPal,2021,LOW
user11@company.com,Adobe,2012,LOW
user12@company.com,Twitter,2018,MEDIUM
user13@gmail.com,Dropbox,2019,CRITICAL
user14@gmail.com,LinkedIn,2016,CRITICAL
user15@icloud.com,Yahoo,2024,CRITICAL
user16@protonmail.com,Adobe,2014,MEDIUM
user17@yahoo.com,Canva,2023,HIGH
user18@icloud.com,LinkedIn,2016,MEDIUM
user19@icloud.com,MyFitnessPal,2023,MEDIUM
user20@icloud.com,Yahoo,2017,MEDIUM
user21@icloud.com,LinkedIn,2018,LOW
user22@protonmail.com,Canva,2014,LOW
user23@outlook.com,Dropbox,2024,CRITICAL
user24@protonmail.com,Twitter,2018,LOW
user25@protonmail.com,Yahoo,2024,HIGH
user26@company.com,Dropbox,2023,CRITICAL
user27@protonmail.com,Twitter,2022,HIGH
user28@icloud.com,Dropbox,2019,MEDIUM
user29@protonmail.com,Dropbox,2016,MEDIUM
user30@yahoo.com,Adobe,2017,HIGH
user31@icloud.com,Adobe,2017,MEDIUM
user32@icloud.com,Canva,2017,HIGH
user33@yahoo.com,Adobe,2013,LOW
user34@gmail.com,MyFitnessPal,2013,LOW
user35@icloud.com,Adobe,2015,MEDIUM
user36@yahoo.com,Twitter,2022,MEDIUM
user37@gmail.com,MyFitnessPal,2015,LOW
user38@yahoo.com,Adobe,2012,CRITICAL
user39@protonmail.com,Adobe,2012,HIGH
user40@company.com,Yahoo,2014,HIGH
user41@yahoo.com,Canva,2021,HIGH
user42@yahoo.com,LinkedIn,2020,HIGH
user43@icloud.com,Dropbox,2017,CRITICAL
user44@outlook.com,Adobe,2012,CRITICAL
user45@icloud.com,Canva,2012,CRITICAL
user46@outlook.com,Canva,2023,LOW
user47@yahoo.com,Twitter,2016,MEDIUM
user48@outlook.com,Dropbox,2019,MEDIUM
user49@yahoo.com,MyFitnessPal,2020,HIGH
user50@protonmail.com,Adobe,2024,LOW
user51@company.com,Yahoo,2013,MEDIUM
user52@yahoo.com,Yahoo,2021,CRITICAL
user53@protonmail.com,Yahoo,2013,CRITICAL
user54@outlook.com,Yahoo,2020,CRITICAL
user55@yahoo.com,Yahoo,2015,LOW
user56@yahoo.com,MyFitnessPal,2021,HIGH
user57@yahoo.com,LinkedIn,2016,CRITICAL
user58@yahoo.com,Yahoo,2024,LOW
user59@protonmail.com,Yahoo,2013,LOW
user60@icloud.com,Adobe,2014,CRITICAL
user61@icloud.com,Twitter,2012,CRITICAL
user62@outlook.com,MyFitnessPal,2012,CRITICAL
user63@icloud.com,Twitter,2014,CRITICAL
user64@company.com,Twitter,2013,CRITICAL
user65@yahoo.com,Twitter,2013,MEDIUM
user66@yahoo.com,Canva,2020,LOW
user67@company.com,Canva,2022,MEDIUM
user68@protonmail.com,Dropbox,2024,LOW
user69@outlook.com,Canva,2023,HIGH
user70@yahoo.com,Canva,2016,HIGH
user71@outlook.com,Canva,2020,MEDIUM
user72@gmail.com,MyFitnessPal,2015,HIGH
user73@icloud.com,MyFitnessPal,2023,HIGH
user74@company.com,MyFitnessPal,2012,HIGH
user75@protonmail.com,LinkedIn,2024,MEDIUM
user76@company.com,Canva,2023,HIGH
user77@yahoo.com,Twitter,2013,MEDIUM
user78@yahoo.com,Canva,2019,LOW
user79@yahoo.com,Dropbox,2023,HIGH
user80@yahoo.com,Adobe,2016,CRITICAL
user81@icloud.com,Twitter,2018,HIGH
user82@company.com,Yahoo,2021,MEDIUM
user83@icloud.com,LinkedIn,2021,CRITICAL
user84@icloud.com,Canva,2020,HIGH
user85@yahoo.com,Dropbox,2022,CRITICAL
user86@outlook.com,Yahoo,2013,HIGH
user87@outlook.com,MyFitnessPal,2012,HIGH
user88@icloud.com,MyFitnessPal,2022,MEDIUM
user89@company.com,Twitter,2014,LOW
user90@outlook.com,Twitter,2024,MEDIUM
user91@yahoo.com,Canva,2012,HIGH
user92@icloud.com,Canva,2019,HIGH
user93@icloud.com,Canva,2015,HIGH
user94@outlook.com,LinkedIn,2023,CRITICAL
user95@company.com,Twitter,2014,MEDIUM
user96@gmail.com,MyFitnessPal,2023,MEDIUM
user97@protonmail.com,Dropbox,2013,CRITICAL
user98@outlook.com,Adobe,2014,HIGH
user99@yahoo.com,Adobe,2016,LOW
user100@icloud.com,Yahoo,2024,HIGH
user101@outlook.com,Twitter,2022,HIGH
user102@gmail.com,LinkedIn,2021,LOW
user103@gmail.com,Twitter,2020,CRITICAL
user104@icloud.com,Adobe,2014,LOW
user105@protonmail.com,Canva,2017,MEDIUM
user106@yahoo.com,Twitter,2017,MEDIUM
user107@icloud.com,Canva,2023,MEDIUM
user108@company.com,Twitter,2020,MEDIUM
user109@protonmail.com,Canva,2015,HIGH
user110@gmail.com,Twitter,2014,HIGH
user111@gmail.com,Yahoo,2013,CRITICAL
user112@gmail.com,MyFitnessPal,2015,HIGH
user113@gmail.com,LinkedIn,2018,HIGH
user114@icloud.com,Canva,2016,CRITICAL
