vpn_server,username,password,country,breach_source
vpn.startupcloud.io,admin30,Cloud@321,Singapore,malware
vpn.cyberinfra.io,employee2298,Secure@456,Singapore,phishing
vpn.globaldata.org,user3492,Admin@123,Germany,phishing
vpn.securebank.net,employee0136,Data@654,Germany,credential_dump
vpn.datavault.net,employee017,User@888,Australia,phishing
vpn.startupcloud.io,user3423,Pass@909,Germany,malware
vpn.techcorp.com,finance013,Cloud@321,Australia,database_leak
vpn.clouddata.io,guestuser81,Money@2024,Canada,phishing
vpn.securebank.net,admin53,Money@2024,UK,database_leak
vpn.securebank.net,finance0119,Secure@456,Singapore,phishing
vpn.financehub.org,finance0152,Money@2024,Canada,credential_dump
vpn.cyberinfra.io,employee0199,User@888,UK,malware
vpn.cyberinfra.io,guestuser22,Money@2024,Singapore,malware
vpn.financehub.org,guestuser47,Data@654,Australia,credential_dump
vpn.globaldata.org,guestuser37,Dev@789,UK,database_leak
vpn.securebank.net,admin29,Pass@909,Australia,credential_dump
vpn.techcorp.com,admin94,Welcome@1,UK,phishing
vpn.globaldata.org,analyst0787,Dev@789,Singapore,phishing
vpn.datavault.net,user346,Access@777,Singapore,phishing
vpn.startupcloud.io,user3470,Access@777,Canada,credential_dump
vpn.cyberinfra.io,admin37,Money@2024,India,credential_dump
vpn.globaldata.org,it_support73,Access@777,Germany,credential_dump
vpn.clouddata.io,guestuser79,Welcome@1,UK,phishing
vpn.cyberinfra.io,employee2297,User@888,India,malware
vpn.datavault.net,admin47,Dev@789,Germany,credential_dump
vpn.clouddata.io,admin55,Cloud@321,USA,database_leak
vpn.startupcloud.io,finance0123,User@888,UK,credential_dump
vpn.securebank.net,employee0138,Pass@909,India,database_leak
vpn.techcorp.com,network_ops25,Access@777,Germany,malware
vpn.clouddata.io,analyst0711,Welcome@1,UK,phishing
vpn.financehub.org,guestuser74,Money@2024,India,phishing
vpn.startupcloud.io,devuser31,Pass@909,India,database_leak
vpn.financehub.org,finance0121,Secure@456,UK,malware
vpn.clouddata.io,it_support40,Money@2024,Canada,credential_dump
vpn.cyberinfra.io,admin86,Secure@456,Singapore,database_leak
vpn.financehub.org,admin97,Secure@456,USA,credential_dump
vpn.securebank.net,employee0141,Admin@123,USA,malware
vpn.financehub.org,employee0120,Welcome@1,Germany,database_leak
vpn.securebank.net,finance0112,Access@777,UK,database_leak
vpn.techcorp.com,employee2261,Admin@123,Canada,phishing
vpn.globaldata.org,analyst0772,Access@777,Australia,malware
vpn.techcorp.com,employee0115,Cloud@321,Australia,database_leak
vpn.cyberinfra.io,analyst0790,Dev@789,Singapore,phishing
vpn.globaldata.org,finance015,Data@654,Australia,phishing
vpn.financehub.org,employee0111,Pass@909,Singapore,phishing
vpn.financehub.org,it_support69,Money@2024,Australia,phishing
vpn.globaldata.org,devuser15,Welcome@1,USA,credential_dump
vpn.clouddata.io,analyst0731,Data@654,Singapore,credential_dump
vpn.clouddata.io,admin59,User@888,Germany,database_leak
vpn.clouddata.io,guestuser57,Dev@789,India,malware
vpn.clouddata.io,analyst0784,Secure@456,UK,database_leak
vpn.globaldata.org,finance0185,Welcome@1,India,database_leak
vpn.cyberinfra.io,finance0169,Access@777,Germany,malware
vpn.financehub.org,employee2281,Money@2024,Singapore,database_leak
vpn.startupcloud.io,employee2260,Welcome@1,Singapore,credential_dump
vpn.cyberinfra.io,employee2278,Dev@789,Germany,phishing
vpn.techcorp.com,devuser61,Access@777,Australia,malware
vpn.techcorp.com,employee0154,Money@2024,Canada,credential_dump
vpn.financehub.org,employee2217,Secure@456,India,credential_dump
vpn.startupcloud.io,network_ops25,Dev@789,India,malware
